SynonymID,SpeciesID,SynSCAMITID,SynonymGenus,SynonymSpecies,SynonymDescriber,DateSynonymAdded,Comments,SpeciesListSortID,chkSynGenRed,chkSynSpRed,chkSynAuth
200795,285,801,Lepidopleurus,scabricostatus,of Carpenter 1864,,,51100,0,0,0
200796,285,802,Lepidozona,golischi,of Burghardt & Burghardt 1969,,,51100,0,0,0
200797,285,803,Lepidozona,inefficax,Berry 1963,,,51100,0,0,0
200799,286,805,Chiton,scrobiculatus,Middendorff 1847,,,51150,1,1,1
200800,286,806,Ischnochiton,sinudentatus,Carpenter in Pilsbry 1892,,,51150,1,1,1
200801,286,807,Ischnochiton,berryi,Dall 1919,,,51150,1,1,1
200802,286,808,Ischnochiton,gallina,Berry 1925,,,51150,1,1,1
200803,286,809,Ischnochiton,listrum,Dall 1919,,,51150,1,1,1
200805,287,811,Ischnochiton,willetti,Berry 1917,,,51175,1,1,1
200806,287,812,Ischnochiton,catalinae,Willett 1931,,,51175,1,1,1
200808,288,814,Ischnochiton,corrugatus,Carpenter in Pilsbry 1892,,,51250,1,1,1
200809,288,815,Ischnochiton,biarcuatus,Dall 1903,,,51250,1,1,1
200815,291,824,Ischnochiton (Trachydermon),gothicus,Carpenter 1864,,,51725,1,1,1
200817,292,826,Mopalia (Dendrochiton),thamnopora,Berry 1911,,,51850,0,0,0
200818,292,827,Dentrochiton,psaltes,Berry 1963,,,51850,0,0,0
200820,292,828,Lepidochitona,thamnopora,of SCAMIT Ed. 4,,,51850,1,1,1
200833,299,842,Patella (Nacella),instabilis,Gould 1846,,,53050,1,1,1
200834,299,843,Collisella,ochracea,of Lindberg 1981,,,53050,1,1,1
200835,299,844,Lottia,ochracea,of authors NEP,,,53050,1,1,1
200837,300,846,Acmaea ,(?pileolus Midd. var) rosacea,Carpenter 1864,,,53100,0,0,0
200838,300,847,Tectura,rosacea,of SCAMIT Ed. 4,,,53100,1,1,1
200840,301,849,Acmaea,strigatella,Carpenter 1864,,,53150,0,0,0
200842,302,851,Patelloida,depicta,Hinds 1842,,,53350,0,0,0
200843,302,852,Notoacmaea,depicta,of Lindberg 1981,,,53350,0,0,0
200856,306,865,Puncturella,multistriata,Dall 1914,,,54550,0,0,0
200858,307,867,Fissurella,aspera,Rathke 1833,,,54650,0,0,0
200859,307,868,Fissuridea,aspera,of Williamson 1892,,,54650,0,0,0
200860,307,869,Glyphis,aspera,of Carpenter 1856,,,54650,0,0,0
200862,308,871,Puncturella,eyerdami,Dall 1924,,,54750,0,0,0
200864,309,873,Rimula,galeata,Gould 1846,,,54800,0,0,0
200871,311,880,Scissurella,crispata,Fleming 1828,,,55450,0,0,0
200872,311,881,Scissurella,chiricova,Dall 1919,,,55450,0,0,0
200873,311,882,Scissurella (Schizotrochus),kelseyi,Dall 1905,,,55450,0,0,0
200878,312,887,Turcica (Ptychostylis),caffea,Gabb 1865,,,55850,1,1,1
200879,312,888,Calliostoma (Turcica),caffea,of Pilsbry 1889,,,55850,1,1,1
200880,312,889,Thalotia,caffea,of Arnold 1903,,,55850,1,1,1
200883,313,892,Margarita,cidaris,Carpenter 1864,,,56050,0,0,0
200884,313,893,Lischkeia,cidaris,of Abbott 1954,,,56050,0,0,0
200885,313,894,Solariella,cidaris,of Williamson 1892,,,56050,0,0,0
200886,313,895,Solariella,oxybasis,Dall 1889,,,56050,0,0,0
