"""SortID""",SpeciesID,SCAMIT_ID,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Subgenus,species,Describer,red,bold,non_standard_italic,AuthorRed,SubgenusRed
23050,111,343,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Halcampidae,,Cactosoma,,arenaria,Carlgren 1931,0,0,0,0,0
23150,112,344,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Halcampidae,,Halcampa,,decemtentaculata,Hand 1954,0,0,0,0,0
23250,113,349,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Halcampidae,,Halianthella,,sp A,SCAMIT 1989 §,0,0,1,0,0
23450,114,355,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Actiniidae,,Epiactis,,prolifera,Verrill 1869,0,0,0,0,0
23550,115,357,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Actiniidae,,Goniactinia,,prolifera,M. Sars 1835,1,0,0,1,0
23650,116,358,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Actiniidae,,Urticina,,columbiana,Verrill 1922,1,0,0,1,0
23850,117,361,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Isanthidae,,Isanthidae,,sp A,SCAMIT 1989 §,0,0,1,0,0
23950,118,363,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Isanthidae,,Zaolutus,,actius,Hand 1955,0,0,0,0,0
24150,119,365,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Liponematidae,,Liponema,,brevicornis,(McMurrich 1893),1,0,0,1,0
24350,120,368,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Actinostolidae,,Actinostola,,sp A,Ljubenkov 1998 §,1,0,1,1,0
24450,121,369,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Actinostolidae,,Stomphia,,vinosa,(McMurrich 1893),1,0,0,1,0
24650,122,372,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Hormathiidae,,Amphianthus,,californicus,Carlgren 1936,0,0,0,0,0
24750,123,373,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Hormathiidae,,Stephanauge,,annularis,Carlgren 1936,0,0,0,0,0
24800,124,374,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Hormathiidae,,Stephanauge,,sp A,Ljubenkov 1991 §,0,0,1,0,0
25050,125,376,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Sagartiidae,,Sagartia,,catalinensis,McPeak 1968,0,0,0,0,0
25250,126,378,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Boloceroididae,,Bunodeopsis,,sp A,Ljubenkov 1998 §,0,0,1,0,0
25450,127,380,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Metridiidae,,Metridium,,farcimen,(Brandt 1835),0,0,0,0,0
25650,128,387,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Diadumenidae,,Diadumene,,sp,,0,0,1,0,0
25825,129,389,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,uncertain,,Anthozoa,,#49,Ljubenkov 1984 §,0,0,1,0,0
25850,130,390,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,uncertain,,Anthozoa,,#76,Ljubenkov 1984 §,0,0,1,0,0
26250,131,393,CNIDARIA,,Anthozoa,Zoantharia,,,Corallimorpharia,,,,Corallimorphidae,,Corynactis,,californica,Carlgren 1936,0,0,0,0,0
26550,132,396,CNIDARIA,,Anthozoa,Zoantharia,,,Zoanthidea,,,,Epizoanthidae,,Epizoanthus,,induratum,Cutress & Pequegnat 1960,1,0,0,0,0
26575,133,398,CNIDARIA,,Anthozoa,Zoantharia,,,Zoanthidea,,,,Epizoanthidae,,Epizoanthus,,leptoderma,Cutress & Pequegnat 1960,0,0,0,0,0
27350,134,405,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Stylochoidea,Plehniidae,,Plehnia,,caeca,Hyman 1953,0,0,0,0,0
27550,135,410,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Stylochoidea,Latocestidae,,Latocestidae,,sp 1,Phillips 2005 § ,1,0,1,1,0
27600,136,412,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Stylochoidea,Latocestidae,,Latocestidae,,sp 2,Phillips 2006 §,1,0,1,1,0
27900,137,414,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Stylochoidea,Stylochidae,,Stylochus,,exiguus,Hyman 1953,1,0,0,0,0
27775,138,421,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Stylochoidea,Stylochidae,,Kaburakia,,excelsa,Bock 1925,0,0,0,0,0
